epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.757,1.64002,3.21871,1.49981,0.71465,0.06685,0.15727,0.07883,1.55684,3.55478,1.30966,0.000274511,0.000274511,0.000274511
2,38.8022,1.60854,2.25902,1.46925,0.48195,0.42391,0.41073,0.19599,1.6697,2.36479,1.48742,0.000541245,0.000541245,0.000541245
3,57.4534,1.66375,2.22342,1.52902,0.43475,0.37282,0.3879,0.18407,1.67925,2.46515,1.50999,0.000796983,0.000796983,0.000796983
4,75.7742,1.65075,2.02594,1.50622,0.52425,0.51441,0.49604,0.23776,1.61858,2.17353,1.4708,0.00078352,0.00078352,0.00078352
5,94.2257,1.61007,1.93519,1.5129,0.59023,0.52334,0.53443,0.2695,1.64888,1.90434,1.4655,0.000767026,0.000767026,0.000767026
6,112.766,1.55359,1.7846,1.46513,0.61216,0.55895,0.57304,0.28409,1.55414,1.71005,1.40972,0.000750533,0.000750533,0.000750533
7,131.179,1.52287,1.69257,1.45465,0.70775,0.59411,0.63931,0.33716,1.49571,1.49432,1.37165,0.00073404,0.00073404,0.00073404
8,149.558,1.5117,1.60599,1.43926,0.69627,0.62685,0.64537,0.32913,1.50632,1.5074,1.36706,0.000717546,0.000717546,0.000717546
9,168.02,1.44796,1.52862,1.40002,0.71422,0.63609,0.67997,0.35779,1.4893,1.43995,1.3484,0.000701053,0.000701053,0.000701053
10,186.48,1.44133,1.426,1.382,0.71851,0.63406,0.67451,0.3622,1.47886,1.45765,1.34523,0.000684559,0.000684559,0.000684559
11,205.032,1.39655,1.43726,1.38125,0.71042,0.63818,0.6841,0.37605,1.43467,1.36996,1.33106,0.000668066,0.000668066,0.000668066
12,223.385,1.39247,1.37072,1.35743,0.72598,0.67448,0.71844,0.39143,1.43873,1.30252,1.33324,0.000651573,0.000651573,0.000651573
13,241.868,1.36118,1.34147,1.34904,0.73875,0.65146,0.70008,0.38335,1.39161,1.30546,1.30428,0.000635079,0.000635079,0.000635079
14,260.146,1.34456,1.31036,1.34652,0.75525,0.64251,0.69756,0.38609,1.41726,1.4176,1.2962,0.000618586,0.000618586,0.000618586
15,278.556,1.32464,1.25867,1.32304,0.81225,0.68431,0.73957,0.41632,1.3848,1.25707,1.29185,0.000602092,0.000602092,0.000602092
16,297,1.32487,1.21875,1.32181,0.73204,0.71061,0.73414,0.41146,1.39274,1.17867,1.28102,0.000585599,0.000585599,0.000585599
17,315.152,1.28934,1.2176,1.3143,0.77181,0.71748,0.75883,0.43564,1.36405,1.13306,1.26875,0.000569106,0.000569106,0.000569106
18,333.141,1.2655,1.12766,1.28169,0.79258,0.70623,0.75528,0.43408,1.37716,1.18617,1.28454,0.000552612,0.000552612,0.000552612
19,350.977,1.27119,1.14351,1.29516,0.79742,0.70719,0.75937,0.42419,1.34323,1.12088,1.26354,0.000536119,0.000536119,0.000536119
20,368.958,1.23762,1.10427,1.28714,0.80333,0.73187,0.76473,0.44722,1.31751,1.20907,1.24522,0.000519625,0.000519625,0.000519625
21,386.944,1.23216,1.06428,1.25459,0.79245,0.73017,0.77158,0.44361,1.3356,1.10138,1.23967,0.000503132,0.000503132,0.000503132
22,404.855,1.22032,1.03351,1.25384,0.80802,0.71668,0.77513,0.45703,1.28071,1.09859,1.21528,0.000486639,0.000486639,0.000486639
23,423.091,1.18412,1.03405,1.24614,0.80721,0.73129,0.77679,0.45673,1.31865,1.12683,1.25033,0.000470145,0.000470145,0.000470145
24,440.963,1.18311,1.0057,1.23886,0.81478,0.73392,0.77731,0.46136,1.31952,1.11805,1.26225,0.000453652,0.000453652,0.000453652
25,458.916,1.16739,0.96308,1.21699,0.83917,0.72758,0.79316,0.46913,1.30979,1.05484,1.23659,0.000437158,0.000437158,0.000437158
26,476.941,1.14059,0.93589,1.20562,0.83165,0.7422,0.79337,0.47524,1.27117,1.00712,1.21694,0.000420665,0.000420665,0.000420665
27,495.462,1.15241,0.94141,1.21041,0.81689,0.7355,0.78706,0.46714,1.29111,1.0814,1.21907,0.000404172,0.000404172,0.000404172
28,513.653,1.13443,0.93256,1.2178,0.85726,0.73553,0.80748,0.47376,1.28428,1.02572,1.21223,0.000387678,0.000387678,0.000387678
29,531.992,1.11809,0.90471,1.19498,0.83397,0.75825,0.80928,0.48708,1.23449,1.02258,1.21447,0.000371185,0.000371185,0.000371185
30,550.608,1.09587,0.89324,1.19536,0.85123,0.71909,0.79179,0.48218,1.25898,1.03408,1.21141,0.000354691,0.000354691,0.000354691
31,568.918,1.09003,0.87574,1.19476,0.83615,0.74773,0.80084,0.48609,1.26779,1.01417,1.22316,0.000338198,0.000338198,0.000338198
32,587.399,1.08454,0.85793,1.17929,0.85235,0.75589,0.81367,0.4848,1.27896,1.03474,1.23267,0.000321705,0.000321705,0.000321705
33,605.772,1.05273,0.82874,1.17146,0.84405,0.73011,0.7988,0.48036,1.25775,1.05197,1.21117,0.000305211,0.000305211,0.000305211
34,624.546,1.03957,0.81407,1.15386,0.86472,0.74771,0.81351,0.49087,1.25256,1.04967,1.21587,0.000288718,0.000288718,0.000288718
35,643.216,1.01893,0.78144,1.14855,0.84196,0.77004,0.828,0.49937,1.21836,1.00216,1.19697,0.000272224,0.000272224,0.000272224
36,661.844,1.02384,0.78138,1.14961,0.84084,0.76256,0.81353,0.50416,1.19347,0.96302,1.18925,0.000255731,0.000255731,0.000255731
37,680.634,1.01881,0.76344,1.13837,0.86834,0.75744,0.82406,0.50436,1.2016,0.95887,1.18021,0.000239238,0.000239238,0.000239238
38,699.278,0.99057,0.7382,1.12567,0.85105,0.76758,0.82124,0.50445,1.20101,0.99715,1.19293,0.000222744,0.000222744,0.000222744
39,717.902,0.97808,0.72177,1.11815,0.84463,0.77716,0.81755,0.5068,1.21121,1.00495,1.19673,0.000206251,0.000206251,0.000206251
40,736.519,0.97104,0.71178,1.11668,0.8561,0.76244,0.81836,0.51216,1.21916,1.01103,1.20401,0.000189757,0.000189757,0.000189757
41,780.481,0.94224,0.66126,1.0953,0.83982,0.76849,0.82362,0.51655,1.21543,0.98717,1.20311,0.000173264,0.000173264,0.000173264
42,799.2,0.91358,0.6058,1.07844,0.87182,0.76978,0.83067,0.51637,1.20346,0.9498,1.19058,0.000156771,0.000156771,0.000156771
43,817.639,0.8989,0.59755,1.05989,0.86478,0.7573,0.82435,0.52006,1.18907,0.95909,1.18565,0.000140277,0.000140277,0.000140277
44,835.92,0.89366,0.5863,1.05956,0.86282,0.76425,0.82596,0.51327,1.19056,0.97343,1.17872,0.000123784,0.000123784,0.000123784
45,853.629,0.86429,0.56188,1.04378,0.87989,0.76874,0.83107,0.52749,1.2013,0.98668,1.19872,0.00010729,0.00010729,0.00010729
46,872.138,0.86505,0.56034,1.04648,0.8859,0.76967,0.83371,0.52529,1.19037,0.95575,1.19042,9.0797e-05,9.0797e-05,9.0797e-05
47,890.359,0.83945,0.53915,1.03529,0.86943,0.77113,0.82746,0.52127,1.17895,0.9754,1.19129,7.43036e-05,7.43036e-05,7.43036e-05
48,908.637,0.82,0.52719,1.02735,0.87559,0.78106,0.83883,0.52879,1.17424,0.97515,1.18428,5.78102e-05,5.78102e-05,5.78102e-05
49,927.609,0.81656,0.52507,1.01804,0.8811,0.78628,0.83878,0.53263,1.17253,0.95504,1.18655,4.13168e-05,4.13168e-05,4.13168e-05
50,946.224,0.81082,0.51384,1.01821,0.86956,0.78825,0.83767,0.52904,1.17631,0.96375,1.18875,2.48234e-05,2.48234e-05,2.48234e-05
