epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3813,1.61811,3.06574,1.4802,0.63337,0.05194,0.16076,0.09493,1.50723,3.48995,1.26647,0.000329545,0.000329545,0.000329545
2,38.1983,1.62851,2.26674,1.48496,0.26012,0.36404,0.21018,0.09814,1.67969,2.98253,1.45294,0.000656316,0.000656316,0.000656316
3,56.5889,1.67613,2.22773,1.5458,0.33377,0.38853,0.29602,0.15286,1.72523,3.32837,1.51077,0.000976487,0.000976487,0.000976487
4,74.7267,1.64899,2.0258,1.52491,0.5112,0.41904,0.42174,0.2002,1.69805,2.19244,1.49282,0.0009703,0.0009703,0.0009703
5,92.9065,1.63881,1.96788,1.54124,0.61606,0.46558,0.49126,0.2389,1.65069,2.08662,1.45815,0.0009604,0.0009604,0.0009604
6,111.004,1.57047,1.79237,1.49377,0.6394,0.50415,0.52512,0.27652,1.57124,1.67432,1.3762,0.0009505,0.0009505,0.0009505
7,129.058,1.54393,1.7144,1.48153,0.66816,0.58427,0.60528,0.33004,1.49264,1.52399,1.34558,0.0009406,0.0009406,0.0009406
8,147.16,1.52902,1.69851,1.4699,0.64247,0.59769,0.61517,0.31838,1.54811,1.49071,1.39011,0.0009307,0.0009307,0.0009307
9,165.303,1.46399,1.59335,1.41964,0.6246,0.60059,0.60217,0.32535,1.50458,1.67121,1.37912,0.0009208,0.0009208,0.0009208
10,183.535,1.45737,1.50029,1.41419,0.68142,0.6027,0.64721,0.36645,1.45916,1.3889,1.33057,0.0009109,0.0009109,0.0009109
11,201.62,1.4211,1.49902,1.41891,0.67451,0.64264,0.65333,0.36288,1.46405,1.34318,1.3439,0.000901,0.000901,0.000901
12,219.888,1.41466,1.4235,1.38143,0.73144,0.64037,0.69492,0.39344,1.43565,1.35671,1.32361,0.0008911,0.0008911,0.0008911
13,238.335,1.39689,1.41243,1.3831,0.67807,0.62666,0.65932,0.37254,1.43307,1.32525,1.29585,0.0008812,0.0008812,0.0008812
14,256.383,1.3723,1.35965,1.37702,0.73298,0.63548,0.6758,0.36536,1.45687,1.36026,1.33546,0.0008713,0.0008713,0.0008713
15,274.688,1.36097,1.34252,1.36214,0.67866,0.65703,0.68949,0.39531,1.40175,1.24732,1.29065,0.0008614,0.0008614,0.0008614
16,293.138,1.35966,1.27187,1.35369,0.72941,0.68805,0.71862,0.40932,1.39488,1.16295,1.289,0.0008515,0.0008515,0.0008515
17,311.754,1.3271,1.28758,1.34891,0.73698,0.669,0.70898,0.41088,1.36741,1.1761,1.26989,0.0008416,0.0008416,0.0008416
18,330.264,1.29828,1.21374,1.31381,0.70981,0.65752,0.69313,0.38711,1.40673,1.31052,1.28715,0.0008317,0.0008317,0.0008317
19,348.258,1.31023,1.21125,1.33044,0.75034,0.67834,0.72349,0.42817,1.35386,1.15839,1.26815,0.0008218,0.0008218,0.0008218
20,366.597,1.2839,1.2046,1.32486,0.77034,0.67734,0.73106,0.42255,1.35577,1.25559,1.26095,0.0008119,0.0008119,0.0008119
21,384.864,1.27594,1.1456,1.29399,0.72209,0.67508,0.69884,0.4112,1.3642,1.19931,1.27065,0.000802,0.000802,0.000802
22,403.188,1.28126,1.16474,1.30677,0.73967,0.69819,0.73107,0.44322,1.31081,1.13792,1.23766,0.0007921,0.0007921,0.0007921
23,421.618,1.24854,1.13965,1.30297,0.76914,0.70486,0.7418,0.44489,1.32889,1.16255,1.25299,0.0007822,0.0007822,0.0007822
24,440.065,1.23385,1.10022,1.28598,0.77541,0.70263,0.73781,0.44153,1.33949,1.1575,1.25085,0.0007723,0.0007723,0.0007723
25,458.329,1.2363,1.05347,1.26374,0.79078,0.70541,0.76271,0.44817,1.32146,1.10786,1.23048,0.0007624,0.0007624,0.0007624
26,476.729,1.21575,1.04119,1.26245,0.79885,0.69679,0.76567,0.45063,1.29062,1.07975,1.22774,0.0007525,0.0007525,0.0007525
27,495.169,1.20836,1.04668,1.25362,0.78478,0.68236,0.7545,0.4454,1.32267,1.10677,1.22681,0.0007426,0.0007426,0.0007426
28,513.454,1.1948,1.03845,1.26891,0.79538,0.71727,0.76318,0.45902,1.29761,1.04824,1.24618,0.0007327,0.0007327,0.0007327
29,531.853,1.17786,1.00574,1.24607,0.82769,0.69087,0.75998,0.46041,1.28789,1.06599,1.2357,0.0007228,0.0007228,0.0007228
30,550.167,1.16349,1.00295,1.2515,0.75165,0.7186,0.75031,0.45579,1.29388,1.09198,1.23614,0.0007129,0.0007129,0.0007129
31,568.38,1.18285,1.00866,1.25836,0.79173,0.74048,0.78569,0.47461,1.29891,1.00872,1.22084,0.000703,0.000703,0.000703
32,586.763,1.15942,0.96057,1.22561,0.78412,0.72912,0.77282,0.46614,1.30378,1.09276,1.2428,0.0006931,0.0006931,0.0006931
33,605.123,1.15075,0.9648,1.24295,0.79249,0.70257,0.76587,0.45986,1.29408,1.02357,1.23873,0.0006832,0.0006832,0.0006832
34,623.468,1.13147,0.93324,1.21734,0.83449,0.69847,0.7679,0.47124,1.29084,1.094,1.23199,0.0006733,0.0006733,0.0006733
35,641.736,1.10581,0.90825,1.2113,0.8451,0.71167,0.78904,0.47966,1.25237,1.01398,1.20461,0.0006634,0.0006634,0.0006634
36,660.077,1.12668,0.91386,1.2227,0.80454,0.72766,0.77858,0.48152,1.23287,1.046,1.2137,0.0006535,0.0006535,0.0006535
37,678.271,1.12391,0.90438,1.20582,0.80693,0.71608,0.77185,0.47572,1.2451,0.98725,1.21078,0.0006436,0.0006436,0.0006436
38,696.208,1.09445,0.87419,1.19234,0.79376,0.73003,0.7768,0.47642,1.23586,1.0534,1.20581,0.0006337,0.0006337,0.0006337
39,714.248,1.08563,0.85859,1.19131,0.80943,0.72677,0.78199,0.49069,1.21902,1.00989,1.19074,0.0006238,0.0006238,0.0006238
40,732.393,1.09431,0.84473,1.19003,0.81927,0.71911,0.77551,0.47267,1.27077,1.05652,1.21789,0.0006139,0.0006139,0.0006139
41,750.403,1.08165,0.8656,1.20931,0.80806,0.72734,0.78769,0.48469,1.25087,1.00901,1.22342,0.000604,0.000604,0.000604
42,768.442,1.05336,0.81407,1.1711,0.78992,0.73475,0.77732,0.48061,1.26368,1.07418,1.21073,0.0005941,0.0005941,0.0005941
43,787.03,1.04379,0.84125,1.17765,0.82581,0.70379,0.7783,0.48165,1.25445,1.04855,1.20665,0.0005842,0.0005842,0.0005842
44,805.356,1.04442,0.80803,1.1834,0.7871,0.7424,0.78538,0.4829,1.27641,1.02473,1.22015,0.0005743,0.0005743,0.0005743
45,823.282,1.03521,0.78946,1.16534,0.77544,0.74353,0.78311,0.48227,1.25868,1.03135,1.22399,0.0005644,0.0005644,0.0005644
46,841.183,1.03296,0.78826,1.1536,0.83658,0.6943,0.78733,0.48694,1.24847,1.08273,1.20581,0.0005545,0.0005545,0.0005545
47,859.178,1.02611,0.77669,1.15234,0.83808,0.68952,0.77648,0.48197,1.2362,1.01901,1.21155,0.0005446,0.0005446,0.0005446
48,877.276,1.00878,0.76299,1.14291,0.84043,0.74061,0.80129,0.49423,1.21888,0.97991,1.19514,0.0005347,0.0005347,0.0005347
49,895.408,0.99389,0.73591,1.13753,0.82378,0.71453,0.79181,0.49249,1.23228,1.0049,1.19112,0.0005248,0.0005248,0.0005248
50,913.493,0.99948,0.757,1.14006,0.84201,0.69895,0.7824,0.48774,1.24187,0.98514,1.21726,0.0005149,0.0005149,0.0005149
51,931.466,0.98875,0.73717,1.12545,0.83534,0.71429,0.78483,0.49385,1.22482,0.9657,1.19846,0.000505,0.000505,0.000505
52,949.5,0.97506,0.71585,1.12511,0.81538,0.73677,0.79176,0.49703,1.23267,1.01692,1.19814,0.0004951,0.0004951,0.0004951
53,967.675,0.99001,0.72945,1.12711,0.81608,0.73848,0.79696,0.50308,1.20276,0.97629,1.18857,0.0004852,0.0004852,0.0004852
54,985.798,0.96675,0.70882,1.11888,0.81018,0.75711,0.79779,0.51166,1.18287,0.95308,1.16973,0.0004753,0.0004753,0.0004753
55,1004.03,0.96331,0.70788,1.11814,0.81647,0.74294,0.80267,0.50123,1.23495,0.99351,1.21092,0.0004654,0.0004654,0.0004654
56,1022.59,0.94407,0.68697,1.11033,0.83133,0.74565,0.79459,0.50111,1.2253,0.95403,1.20045,0.0004555,0.0004555,0.0004555
57,1041.08,0.93962,0.66856,1.09645,0.77554,0.77467,0.80376,0.50572,1.20875,0.96488,1.19099,0.0004456,0.0004456,0.0004456
58,1059.58,0.93973,0.67614,1.11678,0.84057,0.73942,0.80224,0.50557,1.21663,0.99987,1.19169,0.0004357,0.0004357,0.0004357
59,1077.83,0.94415,0.67778,1.108,0.85576,0.73164,0.80126,0.50738,1.23267,0.98773,1.21267,0.0004258,0.0004258,0.0004258
60,1095.86,0.91832,0.65878,1.08782,0.8454,0.74563,0.80817,0.50802,1.23139,0.97122,1.20617,0.0004159,0.0004159,0.0004159
61,1114.04,0.90233,0.64271,1.09372,0.82343,0.74951,0.80025,0.5087,1.23572,1.02722,1.22445,0.000406,0.000406,0.000406
62,1132.25,0.90768,0.64838,1.10312,0.84331,0.73863,0.79594,0.50886,1.2111,1.01243,1.20361,0.0003961,0.0003961,0.0003961
63,1150.31,0.90747,0.64184,1.09322,0.83659,0.73461,0.79423,0.50515,1.2039,0.96211,1.21414,0.0003862,0.0003862,0.0003862
64,1168.54,0.87505,0.6218,1.07954,0.83879,0.73165,0.79802,0.508,1.22122,0.99697,1.21649,0.0003763,0.0003763,0.0003763
65,1186.58,0.88185,0.61653,1.07731,0.85242,0.74052,0.80182,0.51283,1.21639,0.95004,1.19854,0.0003664,0.0003664,0.0003664
66,1204.84,0.86637,0.61179,1.07019,0.81314,0.74603,0.79755,0.51034,1.21857,0.99063,1.21963,0.0003565,0.0003565,0.0003565
67,1223.37,0.85409,0.60173,1.06656,0.84016,0.74021,0.80485,0.5186,1.20367,0.99309,1.19816,0.0003466,0.0003466,0.0003466
68,1242,0.87734,0.61212,1.07491,0.83055,0.72316,0.80019,0.51106,1.20593,1.01345,1.20475,0.0003367,0.0003367,0.0003367
69,1260.55,0.85911,0.59612,1.06891,0.84202,0.7658,0.81783,0.52458,1.18482,0.94077,1.20232,0.0003268,0.0003268,0.0003268
70,1278.77,0.8437,0.59502,1.06061,0.85231,0.74862,0.8112,0.5231,1.19299,1.00572,1.19949,0.0003169,0.0003169,0.0003169
71,1296.84,0.83368,0.58304,1.05763,0.82148,0.77175,0.81469,0.52529,1.21579,0.95947,1.20525,0.000307,0.000307,0.000307
72,1315.08,0.82799,0.56804,1.04583,0.81685,0.78216,0.82071,0.52397,1.20735,0.96874,1.21142,0.0002971,0.0002971,0.0002971
73,1333.3,0.82518,0.56253,1.04558,0.82441,0.74884,0.80376,0.52287,1.1902,0.97644,1.19485,0.0002872,0.0002872,0.0002872
74,1351.35,0.82657,0.56728,1.04588,0.824,0.74846,0.80151,0.51878,1.21034,1.04266,1.22044,0.0002773,0.0002773,0.0002773
75,1369.39,0.7968,0.55354,1.04296,0.82046,0.76263,0.80887,0.52248,1.19045,0.95516,1.19677,0.0002674,0.0002674,0.0002674
76,1387.45,0.82207,0.55722,1.04442,0.79152,0.78594,0.80409,0.52411,1.19753,0.96852,1.2102,0.0002575,0.0002575,0.0002575
77,1405.55,0.80474,0.53796,1.03314,0.85595,0.73952,0.80746,0.5271,1.19875,1.02993,1.21014,0.0002476,0.0002476,0.0002476
78,1423.72,0.77482,0.53776,1.03103,0.84142,0.75735,0.81331,0.5302,1.20276,1.011,1.22246,0.0002377,0.0002377,0.0002377
79,1441.91,0.80366,0.53912,1.03141,0.84309,0.75163,0.80876,0.52672,1.18543,1.01597,1.20195,0.0002278,0.0002278,0.0002278
80,1459.96,0.78024,0.53031,1.02154,0.84118,0.75675,0.80525,0.52058,1.18952,1.04716,1.20722,0.0002179,0.0002179,0.0002179
81,1478.28,0.76858,0.52274,1.02313,0.83097,0.75397,0.80934,0.5279,1.1904,1.02436,1.21149,0.000208,0.000208,0.000208
82,1496.5,0.77467,0.52463,1.02909,0.82862,0.75151,0.80462,0.52268,1.1857,0.99515,1.19701,0.0001981,0.0001981,0.0001981
83,1514.57,0.76727,0.51184,1.01401,0.82733,0.76067,0.81329,0.53386,1.17966,0.96157,1.1961,0.0001882,0.0001882,0.0001882
84,1532.77,0.75239,0.50355,1.01772,0.84054,0.74775,0.81155,0.53094,1.18371,1.05609,1.19961,0.0001783,0.0001783,0.0001783
85,1550.9,0.74982,0.51786,1.01513,0.85862,0.72616,0.8097,0.52839,1.18566,0.9855,1.19928,0.0001684,0.0001684,0.0001684
86,1569.09,0.74828,0.50178,1.01218,0.85929,0.74598,0.81641,0.53429,1.18262,1.00568,1.19841,0.0001585,0.0001585,0.0001585
87,1587.4,0.75389,0.50145,1.00857,0.82683,0.75635,0.81188,0.52828,1.19226,1.03462,1.21208,0.0001486,0.0001486,0.0001486
