epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2255,1.50684,2.46457,1.33339,0.52452,0.5105,0.4856,0.26153,1.5657,2.16533,1.42247,0.000331667,0.000331667,0.000331667
2,80.4197,1.51157,1.77909,1.34492,0.51491,0.49103,0.46592,0.23615,1.62427,2.21188,1.50961,0.000660611,0.000660611,0.000660611
3,118.726,1.52973,1.71378,1.37769,0.5086,0.59705,0.54936,0.29976,1.58737,1.78982,1.46071,0.000985155,0.000985155,0.000985155
4,156.936,1.51385,1.54348,1.36504,0.58923,0.55862,0.55303,0.28896,1.59869,1.77903,1.48824,0.0009802,0.0009802,0.0009802
5,194.995,1.44165,1.39645,1.33185,0.56618,0.60764,0.58425,0.31936,1.53103,1.72671,1.48184,0.0009736,0.0009736,0.0009736
6,233.071,1.40974,1.32484,1.31987,0.64777,0.63914,0.64765,0.36477,1.50088,1.44187,1.43513,0.000967,0.000967,0.000967
7,271.373,1.37357,1.2421,1.29174,0.69419,0.6143,0.66623,0.38376,1.48941,1.38728,1.42117,0.0009604,0.0009604,0.0009604
8,309.739,1.33539,1.16794,1.27113,0.67033,0.63637,0.66913,0.38752,1.46887,1.31583,1.41477,0.0009538,0.0009538,0.0009538
9,347.927,1.309,1.14121,1.26132,0.69534,0.62696,0.67316,0.39443,1.4145,1.32067,1.38446,0.0009472,0.0009472,0.0009472
10,386.298,1.30897,1.11012,1.26382,0.71391,0.64407,0.68522,0.39285,1.47874,1.27376,1.42562,0.0009406,0.0009406,0.0009406
11,424.57,1.26526,1.05464,1.23198,0.70637,0.63434,0.67582,0.39061,1.45579,1.3038,1.41273,0.000934,0.000934,0.000934
12,462.884,1.2484,0.99577,1.22857,0.71928,0.67515,0.70205,0.41757,1.40234,1.23673,1.38963,0.0009274,0.0009274,0.0009274
13,501.133,1.24834,0.98876,1.22734,0.74974,0.6532,0.70302,0.42022,1.3886,1.3323,1.37902,0.0009208,0.0009208,0.0009208
14,539.452,1.2102,0.95486,1.20959,0.73524,0.66024,0.70606,0.42714,1.38869,1.20512,1.40135,0.0009142,0.0009142,0.0009142
15,577.718,1.18744,0.92034,1.19411,0.76694,0.66492,0.72928,0.44093,1.37033,1.12969,1.36989,0.0009076,0.0009076,0.0009076
16,616.058,1.16947,0.91476,1.19349,0.76322,0.65357,0.72058,0.44126,1.38344,1.22553,1.39696,0.000901,0.000901,0.000901
17,654.408,1.16313,0.87425,1.18674,0.74553,0.68296,0.72357,0.44134,1.3775,1.13971,1.40175,0.0008944,0.0008944,0.0008944
18,693.247,1.14823,0.8622,1.17525,0.73733,0.71037,0.73706,0.44662,1.39459,1.15995,1.39303,0.0008878,0.0008878,0.0008878
19,731.146,1.13402,0.83554,1.16768,0.74448,0.71141,0.72906,0.43874,1.39288,1.18864,1.39664,0.0008812,0.0008812,0.0008812
20,768.205,1.10638,0.80746,1.15196,0.75506,0.66899,0.72568,0.44989,1.36774,1.1783,1.37054,0.0008746,0.0008746,0.0008746
21,805.401,1.10881,0.80468,1.14993,0.70771,0.67855,0.70266,0.42897,1.36759,1.20339,1.37791,0.000868,0.000868,0.000868
22,842.434,1.09087,0.78956,1.13998,0.75846,0.6895,0.73055,0.44588,1.36505,1.17427,1.37499,0.0008614,0.0008614,0.0008614
23,879.477,1.08906,0.775,1.14069,0.74471,0.68408,0.72623,0.44287,1.3468,1.22295,1.34796,0.0008548,0.0008548,0.0008548
24,916.582,1.08325,0.77691,1.14019,0.77215,0.70686,0.73692,0.45543,1.36124,1.15273,1.3716,0.0008482,0.0008482,0.0008482
25,953.793,1.0572,0.73693,1.12114,0.72542,0.72065,0.73626,0.45654,1.31886,1.156,1.33123,0.0008416,0.0008416,0.0008416
26,991.119,1.04317,0.73021,1.11114,0.7687,0.7246,0.74671,0.46097,1.36928,1.14777,1.40276,0.000835,0.000835,0.000835
27,1028.43,1.02476,0.71169,1.10699,0.71237,0.73584,0.73099,0.45322,1.36965,1.08778,1.40902,0.0008284,0.0008284,0.0008284
28,1065.7,1.01096,0.6978,1.10179,0.75458,0.70612,0.73923,0.45692,1.3502,1.13032,1.36664,0.0008218,0.0008218,0.0008218
29,1102.98,1.00623,0.69726,1.09908,0.78743,0.71472,0.75527,0.4783,1.33342,1.09968,1.37293,0.0008152,0.0008152,0.0008152
30,1140.26,0.99567,0.68022,1.09046,0.78691,0.70248,0.74652,0.4609,1.40697,1.10884,1.41264,0.0008086,0.0008086,0.0008086
31,1177.43,0.97846,0.6627,1.08322,0.80375,0.68769,0.74271,0.46164,1.36327,1.11709,1.38239,0.000802,0.000802,0.000802
32,1214.69,0.9784,0.65911,1.07887,0.78616,0.71378,0.75008,0.47114,1.37117,1.10602,1.39659,0.0007954,0.0007954,0.0007954
33,1251.95,0.96013,0.64314,1.0756,0.82023,0.68082,0.75121,0.47256,1.33438,1.12256,1.35409,0.0007888,0.0007888,0.0007888
34,1289.23,0.96056,0.64878,1.07241,0.79018,0.70715,0.74986,0.47293,1.33375,1.08364,1.36126,0.0007822,0.0007822,0.0007822
35,1326.64,0.94698,0.62972,1.06229,0.81757,0.68359,0.7438,0.47768,1.31187,1.11627,1.37408,0.0007756,0.0007756,0.0007756
36,1363.89,0.94624,0.61422,1.05695,0.75838,0.69637,0.72591,0.46246,1.34276,1.19448,1.39221,0.000769,0.000769,0.000769
37,1402.77,0.92422,0.61303,1.06176,0.7516,0.69919,0.73547,0.46941,1.3462,1.1672,1.3876,0.0007624,0.0007624,0.0007624
38,1441.24,0.92373,0.61827,1.05792,0.78282,0.71877,0.73891,0.46481,1.36484,1.08149,1.4147,0.0007558,0.0007558,0.0007558
39,1480.21,0.90526,0.59501,1.04138,0.75381,0.73473,0.74641,0.47508,1.33162,1.14146,1.38575,0.0007492,0.0007492,0.0007492
40,1519.01,0.9006,0.58298,1.04078,0.76972,0.72307,0.74855,0.46561,1.35991,1.13363,1.41036,0.0007426,0.0007426,0.0007426
41,1557.59,0.88388,0.58312,1.03593,0.77144,0.70398,0.75393,0.47049,1.34919,1.15494,1.39301,0.000736,0.000736,0.000736
42,1595.2,0.89035,0.5835,1.03972,0.78332,0.69588,0.7385,0.46145,1.35595,1.14835,1.41292,0.0007294,0.0007294,0.0007294
43,1632.31,0.87515,0.5622,1.03672,0.75584,0.7302,0.74392,0.47637,1.32889,1.15639,1.40745,0.0007228,0.0007228,0.0007228
44,1670.21,0.85991,0.55953,1.0249,0.80064,0.71785,0.75456,0.47195,1.34021,1.13984,1.37888,0.0007162,0.0007162,0.0007162
45,1708.51,0.86171,0.55722,1.0214,0.78587,0.72159,0.75662,0.48588,1.34928,1.07768,1.40336,0.0007096,0.0007096,0.0007096
46,1746.93,0.86147,0.55679,1.02696,0.78361,0.68544,0.73998,0.46769,1.36907,1.1935,1.4292,0.000703,0.000703,0.000703
47,1785.36,0.84853,0.55026,1.02167,0.79873,0.71208,0.7531,0.48424,1.34966,1.12144,1.42046,0.0006964,0.0006964,0.0006964
48,1823.85,0.83592,0.5318,1.01506,0.77949,0.72695,0.75533,0.48579,1.31973,1.14199,1.38882,0.0006898,0.0006898,0.0006898
49,1862.12,0.83487,0.5295,1.01347,0.74961,0.72529,0.74336,0.47139,1.36077,1.14058,1.43845,0.0006832,0.0006832,0.0006832
50,1900.37,0.83033,0.52486,1.00841,0.79274,0.6901,0.73766,0.46222,1.3609,1.22575,1.45356,0.0006766,0.0006766,0.0006766
51,1938.7,0.80933,0.51764,1.00054,0.76644,0.69572,0.71797,0.46182,1.35956,1.22461,1.45893,0.00067,0.00067,0.00067
52,1977.04,0.81455,0.51861,0.9976,0.78018,0.7029,0.74473,0.48057,1.31482,1.13672,1.38971,0.0006634,0.0006634,0.0006634
53,2015.35,0.80441,0.51376,0.99575,0.75003,0.72051,0.73956,0.47685,1.33155,1.16012,1.40993,0.0006568,0.0006568,0.0006568
54,2053.67,0.79987,0.51046,0.99395,0.81164,0.68459,0.74482,0.47074,1.36321,1.19069,1.42566,0.0006502,0.0006502,0.0006502
55,2092.14,0.77655,0.49005,0.98763,0.7609,0.73007,0.75379,0.48368,1.32254,1.20064,1.40567,0.0006436,0.0006436,0.0006436
56,2130.53,0.78006,0.49183,0.98386,0.80028,0.69908,0.75124,0.48495,1.34317,1.19516,1.40716,0.000637,0.000637,0.000637
57,2168.81,0.78215,0.4946,0.98323,0.80791,0.69958,0.75858,0.47926,1.33618,1.19997,1.40144,0.0006304,0.0006304,0.0006304
58,2207.22,0.76806,0.48472,0.98194,0.77291,0.70454,0.73641,0.47407,1.35264,1.22326,1.43761,0.0006238,0.0006238,0.0006238
59,2245.71,0.75895,0.47872,0.9764,0.80191,0.70699,0.75605,0.48194,1.3296,1.1653,1.42498,0.0006172,0.0006172,0.0006172
60,2284.04,0.75213,0.47386,0.97055,0.75616,0.72977,0.73857,0.47462,1.35227,1.20782,1.45687,0.0006106,0.0006106,0.0006106
61,2322.43,0.762,0.4729,0.97464,0.79898,0.707,0.74295,0.48246,1.365,1.19447,1.43009,0.000604,0.000604,0.000604
62,2360.78,0.75416,0.46995,0.97226,0.78061,0.73989,0.73354,0.47271,1.36608,1.18599,1.46139,0.0005974,0.0005974,0.0005974
63,2399.2,0.74782,0.46822,0.96733,0.79504,0.69387,0.7274,0.46873,1.3855,1.2247,1.49757,0.0005908,0.0005908,0.0005908
64,2437.58,0.72985,0.4546,0.95929,0.78615,0.7041,0.73199,0.47208,1.35185,1.2798,1.43961,0.0005842,0.0005842,0.0005842
65,2476.08,0.73004,0.45365,0.9657,0.77228,0.73046,0.75041,0.47937,1.33993,1.19587,1.44103,0.0005776,0.0005776,0.0005776
66,2514.53,0.72449,0.45049,0.96042,0.77894,0.71758,0.74425,0.47719,1.39402,1.18703,1.4874,0.000571,0.000571,0.000571
67,2552.83,0.72935,0.44903,0.9632,0.79524,0.69839,0.75404,0.48224,1.36807,1.18841,1.44751,0.0005644,0.0005644,0.0005644
68,2591.25,0.70758,0.44275,0.95786,0.79837,0.71663,0.75642,0.47885,1.39045,1.20347,1.49771,0.0005578,0.0005578,0.0005578
69,2629.87,0.71614,0.44368,0.95555,0.80332,0.70811,0.76043,0.48441,1.37089,1.17531,1.45688,0.0005512,0.0005512,0.0005512
70,2668.99,0.71185,0.44575,0.95729,0.80557,0.71174,0.75339,0.4784,1.37845,1.16211,1.46048,0.0005446,0.0005446,0.0005446
